status	nonstandard_field_data_id	nonstandard_sample_id	nonstandard_taxon_name	date	latitude_rounded	longitude_rounded	canonical_match_count	canonical_field_data_ids	canonical_sample_ids	canonical_taxon_names
strict_taxon_date_location	72732	dbgi_117	Cypripedium calceolus	20250625100533	7.113048	46.032646	1	72634	dbgi_008612	Cypripedium calceolus
strict_taxon_date_location	72733	dbgi_118	Saxifraga pseudo-kotschyl,	20250625100717	7.11304	46.032646	1	72635	dbgi_008504	Saxifraga pseudo-kotschyl,
strict_taxon_date_location	72734	dbgi_119	Rhododendron radicans	20250625100949	7.113038	46.03265	1	72636	dbgi_008514	Rhododendron radicans
strict_taxon_date_location	72735	dbgi_120	Juniperus chinensis	20250625102644	7.113101	46.032578	1	72637	dbgi_008493	Juniperus chinensis
strict_taxon_date_location	72736	dbgi_121	Centaurea montana	20250625102812	7.113166	46.03258	1	72638	dbgi_008758	Centaurea montana
strict_taxon_date_location	72737	dbgi_122	Berberis canadensis	20250625103130	7.113178	46.03258	1	72639	dbgi_008511	Berberis canadensis
strict_taxon_date_location	72738	dbgi_123	Vaccinium vitis-idaea	20250625103325	7.113173	46.03259	1	72640	dbgi_008458	Vaccinium vitis-idaea
strict_taxon_date_location	72739	dbgi_124	Sedum ellecombienum	20250625103617	7.113174	46.03257	1	72641	dbgi_008431	Sedum ellecombienum
strict_taxon_date_location	72740	dbgi_125	Cytisus decumbens	20250625103820	7.113209	46.032574	1	72642	dbgi_008478	Cytisus decumbens
strict_taxon_date_location	72741	dbgi_126	Gentiana marcailhuana	20250625104043	7.113217	46.03257	1	72643	dbgi_008413	Gentiana marcailhuana
strict_taxon_date_location	72743	dbgi_128	Carlina acanthifolia	20250625105142	7.113238	46.032566	1	72645	dbgi_008393	Carlina acanthifolia
strict_taxon_date_location	72744	dbgi_129	Scabiosa columbaria	20250625105253	7.113238	46.032566	1	72646	dbgi_008468	Scabiosa columbaria
strict_taxon_date_location	72745	dbgi_130	Astragalus monspessulanus	20250625105709	7.113245	46.032566	1	72647	dbgi_008490	Astragalus monspessulanus
strict_taxon_date_location	72746	dbgi_131	Sedum ochroleucum	20250625105915	7.113248	46.03257	1	72648	dbgi_008462	Sedum ochroleucum
strict_taxon_date_location	72748	dbgi_133	Geranium nodosum	20250625110706	7.113341	46.032574	1	72650	dbgi_008385	Geranium nodosum
strict_taxon_date_location	72750	dbgi_135	Cytisus nigricans	20250625111342	7.113455	46.03256	1	72652	dbgi_008402	Cytisus nigricans
strict_taxon_date_location	72751	dbgi_136	Abies cephalonica	20250625111715	7.113396	46.032597	1	72653	dbgi_008382	Abies cephalonica
strict_taxon_date_location	72752	dbgi_137	Gentiana angustifolia	20250625112329	7.11331	46.032593	1	72654	dbgi_008513	Gentiana angustifolia
strict_taxon_date_location	72754	dbgi_139	Erinus alpinus	20250625112959	7.113341	46.032604	1	72656	dbgi_008743	Erinus alpinus
strict_taxon_date_location	72755	dbgi_140	Potentilla peduncularis	20250625113145	7.113354	46.0326	1	72657	dbgi_008502	Potentilla peduncularis
strict_taxon_date_location	72756	dbgi_141	Jovibarba hirta	20250625113449	7.113376	46.032593	1	72658	dbgi_008459	Jovibarba hirta
strict_taxon_date_location	72757	dbgi_142	Polygala vayredae	20250625113742	7.113381	46.032604	1	72659	dbgi_008483	Polygala vayredae
strict_taxon_date_location	72758	dbgi_143	Paeonia officinalis	20250625114111	7.113385	46.032616	1	72660	dbgi_008532	Paeonia officinalis
strict_taxon_date_location	72759	dbgi_144	Primula denticulata	20250625114356	7.113413	46.032604	1	72661	dbgi_008394	Primula denticulata
strict_taxon_date_location	72760	dbgi_145	Potentilla ambigua	20250625114522	7.113443	46.0326	1	72662	dbgi_008500	Potentilla ambigua
strict_taxon_date_location	72761	dbgi_146	Arctostaphylus uva-ursi	20250625114650	7.113457	46.03257	1	72663	dbgi_008461	Arctostaphylus uva-ursi
strict_taxon_date_location	72797	dbgi_147	Androsace sarmentosa	20250707140145	7.113414	46.03267	1	72764	dbgi_008389	Androsace sarmentosa
strict_taxon_date_location	72798	dbgi_148	Festuca tatrae	20250707140415	7.113411	46.03266	1	72765	dbgi_008473	Festuca tatrae
strict_taxon_date_location	72799	dbgi_149	Heuchera americana	20250707140812	7.113392	46.032646	1	72766	dbgi_008404	Heuchera americana
strict_taxon_date_location	72800	dbgi_150	Thymus nitens	20250707140953	7.113376	46.032646	1	72767	dbgi_008505	Thymus nitens
strict_taxon_date_location	72801	dbgi_151	Paeonia lutea	20250707141300	7.113393	46.03264	1	72768	dbgi_008510	Paeonia lutea
strict_taxon_date_location	72802	dbgi_152	Linum flavum	20250707141453	7.113377	46.03264	1	72769	dbgi_008381	Linum flavum
strict_taxon_date_location	72803	dbgi_153	Aillium hymenorrhizum,	20250707141836	7.113354	46.03264	1	72770	dbgi_008497	Aillium hymenorrhizum,
strict_taxon_date_location	72804	dbgi_154	Astrantia major	20250707142119	7.113342	46.03264	1	72771	dbgi_008384	Astrantia major
strict_taxon_date_location	72805	dbgi_155	Erodium manescavi	20250707142256	7.113344	46.032635	1	72772	dbgi_008494	Erodium manescavi
strict_taxon_date_location	72806	dbgi_156	Centaurea haynaldii	20250707142439	7.113325	46.03264	1	72773	dbgi_008403	Centaurea haynaldii
strict_taxon_date_location	72807	dbgi_157	Hemerocellis lilioasphodolus	20250707142716	7.113335	46.032642	1	72774	dbgi_008387	Hemerocellis lilioasphodolus
strict_taxon_date_location	72809	dbgi_159	Bergenia crassifolia	20250707143443	7.113338	46.032635	1	72776	dbgi_008428	Bergenia crassifolia
strict_taxon_date_location	72810	dbgi_160	Hieracium bombycinum	20250707143624	7.113324	46.032635	1	72777	dbgi_008603	Hieracium bombycinum
strict_taxon_date_location	72811	dbgi_161	Paeonia daurica	20250707143754	7.11332	46.03263	1	72778	dbgi_008547	Paeonia daurica
strict_taxon_date_location	72812	dbgi_162	Alyssum alpestre	20250707143955	7.113279	46.032616	1	72779	dbgi_008508	Alyssum alpestre
strict_taxon_date_location	72814	dbgi_164	Potentilla rupestris	20250707144653	7.113222	46.032623	1	72781	dbgi_008463	Potentilla rupestris
strict_taxon_date_location	72815	dbgi_165	Allium nutans	20250707144845	7.113247	46.03263	1	72782	dbgi_008420	Allium nutans
strict_taxon_date_location	72816	dbgi_166	Vaccinium vitis-idaea	20250707150007	7.11349	46.032677	1	72783	dbgi_008432	Vaccinium vitis-idaea
strict_taxon_date_location	72817	dbgi_167	Rhodiola rosea	20250707150204	7.113506	46.032677	1	72784	dbgi_008383	Rhodiola rosea
strict_taxon_date_location	72818	dbgi_168	Vaccinium myrtillus	20250707150435	7.113491	46.03267	1	72785	dbgi_008485	Vaccinium myrtillus
strict_taxon_date_location	72819	dbgi_169	Lonicera caerulea	20250707150811	7.113495	46.03268	1	72786	dbgi_008427	Lonicera caerulea
strict_taxon_date_location	72820	dbgi_170	Digitalis grandiflora	20250707151019	7.113477	46.03268	1	72787	dbgi_008496	Digitalis grandiflora
strict_taxon_date_location	72821	dbgi_171	Digitalis purpurea	20250707151257	7.11351	46.032696	1	72788	dbgi_008471	Digitalis purpurea
strict_taxon_date_location	72822	dbgi_172	Arctostaphylos uva-ursi	20250707151504	7.11349	46.032703	1	72789	dbgi_008409	Arctostaphylos uva-ursi
strict_taxon_date_location	72823	dbgi_173	Achillea millefolium	20250707151758	7.113492	46.03268	1	72790	dbgi_008391	Achillea millefolium
strict_taxon_date_location	72824	dbgi_174	Pulsatilla vulgaris	20250707151947	7.113523	46.032707	1	72791	dbgi_008477	Pulsatilla vulgaris
strict_taxon_date_location	72825	dbgi_175	Artemisia vulgaris	20250707152216	7.11351	46.032703	1	72792	dbgi_008418	Artemisia vulgaris
strict_taxon_date_location	72826	dbgi_176	Hypericum perforatum	20250707152359	7.113516	46.03273	1	72793	dbgi_008429	Hypericum perforatum
strict_taxon_date_location	72827	dbgi_177	Hyssopus officinalis	20250707152725	7.113504	46.032703	1	72794	dbgi_008498	Hyssopus officinalis
strict_taxon_date_location	72828	dbgi_178	Thymus pulegioides	20250707153002	7.113477	46.032696	1	72795	dbgi_008411	Thymus pulegioides
strict_taxon_date_location	72829	dbgi_179	Viola riviniana	20250707153248	7.113453	46.032703	1	72796	dbgi_008417	Viola riviniana
strict_taxon_date_location	73041	dbgi_195	Hippophae rhamnoides	20250715083825	7.113455	46.032642	1	72986	dbgi_006943	Hippophae rhamnoides
strict_taxon_date_location	73042	dbgi_196	Centaurea nigra	20250715084018	7.113466	46.03265	1	72987	dbgi_006729	Centaurea nigra
strict_taxon_date_location	73044	dbgi_198	Hemerocallis multiflora	20250715090513	7.113399	46.032627	1	72989	dbgi_006600	Hemerocallis multiflora
strict_taxon_date_location	73045	dbgi_199	Centaurea nigrescens	20250715090643	7.113388	46.032623	1	72990	dbgi_006679	Centaurea nigrescens
strict_taxon_date_location	73046	dbgi_200	Dianthus seguieri	20250715090830	7.113366	46.03262	1	72991	dbgi_006687	Dianthus seguieri
strict_taxon_date_location	73047	dbgi_201	Penstemon cobaea	20250715091435	7.113386	46.03275	1	72992	dbgi_006668	Penstemon cobaea
strict_taxon_date_location	73050	dbgi_204	Hieracium bornmuelleri	20250715092138	7.113387	46.032764	1	72995	dbgi_006688	Hieracium bornmuelleri
strict_taxon_date_location	73053	dbgi_207	Calamintha menthifolia	20250715093106	7.113357	46.032753	1	72998	dbgi_006657	Calamintha menthifolia
strict_taxon_date_location	73054	dbgi_208	Genista germanica	20250715093444	7.113338	46.032738	1	72999	dbgi_006674	Genista germanica
strict_taxon_date_location	73057	dbgi_211	Morina longifolia	20250715094212	7.113324	46.032722	1	73002	dbgi_006680	Morina longifolia
strict_taxon_date_location	73059	dbgi_213	Zizia aptera	20250715094754	7.113337	46.032738	1	73004	dbgi_006664	Zizia aptera
strict_taxon_date_location	73060	dbgi_214	Paeonia daurica	20250715095004	7.11335	46.03276	1	73005	dbgi_006676	Paeonia daurica
strict_taxon_date_location	73061	dbgi_215	Erigeron belligifolius	20250715095224	7.11332	46.03274	1	73006	dbgi_006666	Erigeron belligifolius
strict_taxon_date_location	73062	dbgi_216	Knautia purpurea	20250715095415	7.113327	46.032734	1	73007	dbgi_006631	Knautia purpurea
strict_taxon_date_location	73063	dbgi_217	Potentilla repens	20250715095604	7.113323	46.03274	1	73008	dbgi_006673	Potentilla repens
strict_taxon_date_location	73065	dbgi_219	Polygomum amplexicaule	20250715101006	7.113291	46.032757	1	73010	dbgi_006672	Polygomum amplexicaule
strict_taxon_date_location	73066	dbgi_220	Centaurea simplicicaulis	20250715101234	7.113313	46.03273	1	73011	dbgi_006677	Centaurea simplicicaulis
strict_taxon_date_location	73069	dbgi_223	Potentilla alba	20250715102151	7.113284	46.032753	1	73014	dbgi_006738	Potentilla alba
strict_taxon_date_location	73072	dbgi_226	Daphne pontica	20250715102811	7.113298	46.032764	1	73017	dbgi_006768	Daphne pontica
strict_taxon_date_location	73073	dbgi_227	Phleum phleoides	20250715103020	7.113342	46.032772	1	73018	dbgi_006763	Phleum phleoides
strict_taxon_date_location	73074	dbgi_228	Festuca valesiaca	20250715103211	7.113316	46.032753	1	73019	dbgi_006747	Festuca valesiaca
strict_taxon_date_location	73075	dbgi_229	Koeleria vallesiana	20250715103401	7.113348	46.032753	1	73020	dbgi_006739	Koeleria vallesiana
strict_taxon_date_location	73076	dbgi_230	Koeleria macrantha	20250715104019	7.113301	46.03278	1	73021	dbgi_006711	Koeleria macrantha
strict_taxon_date_location	73077	dbgi_231	Festuca curvula	20250715104204	7.113296	46.03278	1	73022	dbgi_006634	Festuca curvula
strict_taxon_date_location	73078	dbgi_232	Euphorbia seguieriana	20250715104341	7.113301	46.03278	1	73023	dbgi_006745	Euphorbia seguieriana
strict_taxon_date_location	73079	dbgi_233	Potentilla verna	20250715104521	7.113316	46.032784	1	73024	dbgi_006764	Potentilla verna
strict_taxon_date_location	73081	dbgi_235	Bothriochloa ischaemum	20250715105332	7.113317	46.03279	1	73026	dbgi_006759	Bothriochloa ischaemum
strict_taxon_date_location	73082	dbgi_236	Thymus praecox	20250715105533	7.113344	46.032784	1	73027	dbgi_006753	Thymus praecox
strict_taxon_date_location	73083	dbgi_237	Centaurea scabiosa	20250715105932	7.113295	46.032787	1	73028	dbgi_006706	Centaurea scabiosa
strict_taxon_date_location	73085	dbgi_239	Nepeta nuda	20250715110451	7.113305	46.03281	1	73030	dbgi_007155	Nepeta nuda
strict_taxon_date_location	73086	dbgi_240	Artemisia campestris	20250715110618	7.113328	46.032795	1	73031	dbgi_007130	Artemisia campestris
