confidence	rationale	nonstandard_field_data_id	nonstandard_sample_id	canonical_field_data_ids	canonical_sample_ids	taxon_name	date	latitude_rounded	longitude_rounded	canonical_taxon_names
high	nonstandard row has one canonical row with same taxon/date/rounded location	73057	dbgi_211	73002	dbgi_006680	morina longifolia	20250715094212	7.113324	46.032722	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73059	dbgi_213	73004	dbgi_006664	zizia aptera	20250715094754	7.113337	46.032738	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73060	dbgi_214	73005	dbgi_006676	paeonia daurica	20250715095004	7.11335	46.03276	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73061	dbgi_215	73006	dbgi_006666	erigeron belligifolius	20250715095224	7.11332	46.03274	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73062	dbgi_216	73007	dbgi_006631	knautia purpurea	20250715095415	7.113327	46.032734	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73063	dbgi_217	73008	dbgi_006673	potentilla repens	20250715095604	7.113323	46.03274	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73065	dbgi_219	73010	dbgi_006672	polygomum amplexicaule	20250715101006	7.113291	46.032757	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73066	dbgi_220	73011	dbgi_006677	centaurea simplicicaulis	20250715101234	7.113313	46.03273	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73069	dbgi_223	73014	dbgi_006738	potentilla alba	20250715102151	7.113284	46.032753	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73072	dbgi_226	73017	dbgi_006768	daphne pontica	20250715102811	7.113298	46.032764	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73073	dbgi_227	73018	dbgi_006763	phleum phleoides	20250715103020	7.113342	46.032772	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73074	dbgi_228	73019	dbgi_006747	festuca valesiaca	20250715103211	7.113316	46.032753	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73075	dbgi_229	73020	dbgi_006739	koeleria vallesiana	20250715103401	7.113348	46.032753	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73076	dbgi_230	73021	dbgi_006711	koeleria macrantha	20250715104019	7.113301	46.03278	
