field_data_id	sample_id	canonical_field_data_ids	canonical_sample_ids	rationale
73270	dbgi_354	72986	dbgi_006943	nonstandard row has one canonical row with same taxon/date/rounded location
73271	dbgi_355	72987	dbgi_006729	nonstandard row has one canonical row with same taxon/date/rounded location
73273	dbgi_357	72989	dbgi_006600	nonstandard row has one canonical row with same taxon/date/rounded location
73274	dbgi_358	72990	dbgi_006679	nonstandard row has one canonical row with same taxon/date/rounded location
73275	dbgi_359	72991	dbgi_006687	nonstandard row has one canonical row with same taxon/date/rounded location
73276	dbgi_360	72992	dbgi_006668	nonstandard row has one canonical row with same taxon/date/rounded location
73279	dbgi_363	72995	dbgi_006688	nonstandard row has one canonical row with same taxon/date/rounded location
73282	dbgi_366	72998	dbgi_006657	nonstandard row has one canonical row with same taxon/date/rounded location
73283	dbgi_367	72999	dbgi_006674	nonstandard row has one canonical row with same taxon/date/rounded location
73286	dbgi_370	73002	dbgi_006680	nonstandard row has one canonical row with same taxon/date/rounded location
73288	dbgi_372	73004	dbgi_006664	nonstandard row has one canonical row with same taxon/date/rounded location
73289	dbgi_373	73005	dbgi_006676	nonstandard row has one canonical row with same taxon/date/rounded location
73290	dbgi_374	73006	dbgi_006666	nonstandard row has one canonical row with same taxon/date/rounded location
73291	dbgi_375	73007	dbgi_006631	nonstandard row has one canonical row with same taxon/date/rounded location
73292	dbgi_376	73008	dbgi_006673	nonstandard row has one canonical row with same taxon/date/rounded location
73294	dbgi_378	73010	dbgi_006672	nonstandard row has one canonical row with same taxon/date/rounded location
73295	dbgi_379	73011	dbgi_006677	nonstandard row has one canonical row with same taxon/date/rounded location
73298	dbgi_382	73014	dbgi_006738	nonstandard row has one canonical row with same taxon/date/rounded location
