group_id	group_size	taxon_name	date	latitude_rounded	longitude_rounded	field_data_id	sample_id	collector_fullname	date_created	date_updated
152	3	molinia caerulea	20250715095802	7.113183	46.032745	73343	dbgi_427	Mazzarine Laboureau	2025-08-12T11:52:29.875Z	2025-08-14T14:03:25.425Z
153	3	potentilla fruticosa	20250715100414	7.113187	46.032726	73115	dbgi_004139	Mazzarine Laboureau	2025-08-12T11:52:22.459Z	2025-08-29T12:05:02.711Z
153	3	potentilla fruticosa	20250715100414	7.113187	46.032726	73219	dbgi_324	Mazzarine Laboureau	2025-08-12T11:52:25.797Z	2025-08-14T14:03:21.583Z
153	3	potentilla fruticosa	20250715100414	7.113187	46.032726	73344	dbgi_428	Mazzarine Laboureau	2025-08-12T11:52:29.915Z	2025-08-14T14:03:25.456Z
154	3	festuca quadriflora	20250715100714	7.113176	46.03272	73116	dbgi_006608	Mazzarine Laboureau	2025-08-12T11:52:22.495Z	2025-08-29T12:05:02.742Z
154	3	festuca quadriflora	20250715100714	7.113176	46.03272	73220	dbgi_325	Mazzarine Laboureau	2025-08-12T11:52:25.830Z	2025-08-14T14:03:21.616Z
154	3	festuca quadriflora	20250715100714	7.113176	46.03272	73345	dbgi_429	Mazzarine Laboureau	2025-08-12T11:52:29.945Z	2025-08-14T14:03:25.490Z
155	4	polygomum amplexicaule	20250715101006	7.113291	46.032757	73010	dbgi_006672	Émilie Lab	2025-08-12T11:52:19.097Z	2025-08-29T12:05:00.927Z
155	4	polygomum amplexicaule	20250715101006	7.113291	46.032757	73065	dbgi_219	Émilie Lab	2025-08-12T11:52:20.903Z	2025-08-14T14:03:16.422Z
155	4	polygomum amplexicaule	20250715101006	7.113291	46.032757	73169	dbgi_274	Émilie Lab	2025-08-12T11:52:24.182Z	2025-08-14T14:03:20.002Z
155	4	polygomum amplexicaule	20250715101006	7.113291	46.032757	73294	dbgi_378	Émilie Lab	2025-08-12T11:52:28.308Z	2025-08-14T14:03:23.987Z
156	4	centaurea simplicicaulis	20250715101234	7.113313	46.03273	73011	dbgi_006677	Émilie Lab	2025-08-12T11:52:19.124Z	2025-08-29T12:05:00.958Z
156	4	centaurea simplicicaulis	20250715101234	7.113313	46.03273	73066	dbgi_220	Émilie Lab	2025-08-12T11:52:20.940Z	2025-08-14T14:03:16.454Z
156	4	centaurea simplicicaulis	20250715101234	7.113313	46.03273	73170	dbgi_275	Émilie Lab	2025-08-12T11:52:24.216Z	2025-08-14T14:03:20.029Z
156	4	centaurea simplicicaulis	20250715101234	7.113313	46.03273	73295	dbgi_379	Émilie Lab	2025-08-12T11:52:28.338Z	2025-08-14T14:03:24.019Z
157	3	gentiana asclepiadea	20250715101933	7.113213	46.032722	73118	dbgi_007081	Mazzarine Laboureau	2025-08-12T11:52:22.555Z	2025-08-29T12:05:02.806Z
157	3	gentiana asclepiadea	20250715101933	7.113213	46.032722	73222	dbgi_327	Mazzarine Laboureau	2025-08-12T11:52:25.896Z	2025-08-14T14:03:21.680Z
157	3	gentiana asclepiadea	20250715101933	7.113213	46.032722	73347	dbgi_431	Mazzarine Laboureau	2025-08-12T11:52:30.012Z	2025-08-14T14:03:25.555Z
158	3	iris missouriensis	20250715102146	7.113194	46.032734	73119	dbgi_007061	Mazzarine Laboureau	2025-08-12T11:52:22.588Z	2025-08-29T12:05:02.838Z
158	3	iris missouriensis	20250715102146	7.113194	46.032734	73223	dbgi_328	Mazzarine Laboureau	2025-08-12T11:52:25.930Z	2025-08-14T14:03:21.713Z
158	3	iris missouriensis	20250715102146	7.113194	46.032734	73348	dbgi_432	Mazzarine Laboureau	2025-08-12T11:52:30.046Z	2025-08-14T14:03:25.586Z
159	4	potentilla alba	20250715102151	7.113284	46.032753	73014	dbgi_006738	Émilie Lab	2025-08-12T11:52:19.221Z	2025-08-29T12:05:01.053Z
159	4	potentilla alba	20250715102151	7.113284	46.032753	73069	dbgi_223	Émilie Lab	2025-08-12T11:52:21.031Z	2025-08-14T14:03:16.558Z
159	4	potentilla alba	20250715102151	7.113284	46.032753	73173	dbgi_278	Émilie Lab	2025-08-12T11:52:24.307Z	2025-08-14T14:03:20.110Z
159	4	potentilla alba	20250715102151	7.113284	46.032753	73298	dbgi_382	Émilie Lab	2025-08-12T11:52:28.431Z	2025-08-14T14:03:24.113Z
160	3	dryas octopetala	20250715102407	7.113222	46.032722	73120	dbgi_007046	Mazzarine Laboureau	2025-08-12T11:52:22.623Z	2025-08-29T12:05:02.874Z
160	3	dryas octopetala	20250715102407	7.113222	46.032722	73224	dbgi_329	Mazzarine Laboureau	2025-08-12T11:52:25.963Z	2025-08-14T14:03:21.745Z
160	3	dryas octopetala	20250715102407	7.113222	46.032722	73349	dbgi_433	Mazzarine Laboureau	2025-08-12T11:52:30.079Z	2025-08-14T14:03:25.620Z
