project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	issue
jbp	74256	dbgi_009911	canonical	dbgi_009911				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818141136	14.416558	50.12256	out_of_ch_range	
jbp	74257	dbgi_009837	canonical	dbgi_009837				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818141709	14.416558	50.12256	out_of_ch_range	
jbp	74258	dbgi_009858	canonical	dbgi_009858				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818142754	14.416558	50.12256	out_of_ch_range	
jbp	74259	dbgi_009822	canonical	dbgi_009822	Spiraea betulifolia			Spiraea betulifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818143107	14.416282	50.122322	out_of_ch_range	
jbp	74260	dbgi_009860	canonical	dbgi_009860	Spiraea betulifolia			Spiraea betulifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818143449	14.416282	50.122322	out_of_ch_range	
jbp	74261	dbgi_009835	canonical	dbgi_009835	Spiraea betulifolia			Spiraea betulifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818143703	14.416282	50.122322	out_of_ch_range	
jbp	74262	dbgi_009857	canonical	dbgi_009857	Spiraea salicifolia			Spiraea salicifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818143935	14.415109	50.12093	out_of_ch_range	
jbp	74263	dbgi_009915	canonical	dbgi_009915	Spiraea salicifolia			Spiraea salicifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818144154	14.415109	50.12093	out_of_ch_range	
jbp	74264	dbgi_009875	canonical	dbgi_009875	Spiraea salicifolia			Spiraea salicifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818144350	14.415109	50.12093	out_of_ch_range	
jbp	74265	dbgi_009819	canonical	dbgi_009819	Spiraea salicifolia			Spiraea salicifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818144653	14.415109	50.12093	out_of_ch_range	
jbp	74266	dbgi_009900	canonical	dbgi_009900	Caesalpinia mexicana			Caesalpinia mexicana	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818144953	14.412951	50.12173	out_of_ch_range	
jbp	74267	dbgi_009845	canonical	dbgi_009845	Caesalpinia mexicana			Caesalpinia mexicana	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818145602	14.412951	50.12173	out_of_ch_range	
jbp	74268	dbgi_009830	canonical	dbgi_009830	Caesalpinia mexicana			Caesalpinia mexicana	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818145811	14.412951	50.12173	out_of_ch_range	
jbp	74269	dbgi_009862	canonical	dbgi_009862	Coffea arabica			Coffea arabica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818145941	14.41292	50.121666	out_of_ch_range	
jbp	74270	dbgi_009851	canonical	dbgi_009851	Coffea arabica			Coffea arabica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818150240	14.41292	50.121666	out_of_ch_range	
jbp	76144	dbgi_010030	canonical	dbgi_010030	Manilkara zapota			Manilkara zapota	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128151351	14.41204	50.12182	out_of_ch_range	
jbp	76145	dbgi_010033	canonical	dbgi_010033	Manilkara zapota			Manilkara zapota	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128151542	14.41204	50.12182	out_of_ch_range	
jbp	76146	dbgi_010062	canonical	dbgi_010062	Manilkara zapota			Manilkara zapota	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128151624	14.41204	50.12182	out_of_ch_range	
jbp	76147	dbgi_010037	canonical	dbgi_010037	Mimosa pudica			Mimosa pudica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128153322	14.41426	50.121994	out_of_ch_range	
jbp	76148	dbgi_010038	canonical	dbgi_010038	Mimosa pudica			Mimosa pudica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128153634	14.41426	50.121994	out_of_ch_range	
jbp	76149	dbgi_010053	canonical	dbgi_010053	Mimosa pudica			Mimosa pudica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128154105	14.41426	50.121994	out_of_ch_range	
jbp	76150	dbgi_010019	canonical	dbgi_010019	Musa velutina			Musa velutina	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128155214	14.412075	50.121857	out_of_ch_range	
jbp	76151	dbgi_010036	canonical	dbgi_010036	Musa velutina			Musa velutina	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128155402	14.412075	50.121857	out_of_ch_range	
jbp	76152	dbgi_010072	canonical	dbgi_010072	Musa velutina			Musa velutina	taxon_name	resolved_from_primary_taxon_field	taxon_name		20260128155443	14.412075	50.121857	out_of_ch_range	
jbp	76153	dbgi_009999	canonical	dbgi_009999				Tabernaemontana brahyantha	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260128155524	14.412076	50.121883	out_of_ch_range	
jbp	76154	dbgi_010067	canonical	dbgi_010067				Tabernaemontana brahyantha	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260128155737	14.412076	50.121883	out_of_ch_range	
jbp	76155	dbgi_010029	canonical	dbgi_010029				Tabernaemontana brahyantha	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20260128155852	14.412076	50.121883	out_of_ch_range	
jbp	76156	dbgi_010002	canonical	dbgi_010002	Anacardium occidentale			Anacardium occidentale	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Anacardium occidentale;name_proposition=Typhonium roxburghii	20260128161234	14.412154	50.121975	out_of_ch_range	taxon_unified_conflict
jbp	76157	dbgi_009950	canonical	dbgi_009950	Cyperus alternifolius			Cyperus alternifolius	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Cyperus alternifolius;name_proposition=Tabernaemontana brahyantha	20260128155959	14.412094	50.121906	out_of_ch_range	taxon_unified_conflict
jbp	76158	dbgi_009844	canonical	dbgi_009844	Cyperus alternifolius			Cyperus alternifolius	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Cyperus alternifolius;name_proposition=Tabernaemontana brahyantha	20260128160233	14.412094	50.121906	out_of_ch_range	taxon_unified_conflict
jbp	76159	dbgi_010024	canonical	dbgi_010024	Cyperus alternifolius			Cyperus alternifolius	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Cyperus alternifolius;name_proposition=Tabernaemontana brahyantha	20260128160405	14.412094	50.121906	out_of_ch_range	taxon_unified_conflict
jbp	76160	dbgi_010057	canonical	dbgi_010057	Oryza sativa			Oryza sativa	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Oryza sativa;name_proposition=Tabernaemontana brahyantha	20260128160512	14.412126	50.12193	out_of_ch_range	taxon_unified_conflict
jbp	76161	dbgi_010059	canonical	dbgi_010059	Oryza sativa			Oryza sativa	taxon_name	resolved_from_primary_taxon_field	taxon_name;name_proposition	taxon_name=Oryza sativa;name_proposition=Tabernaemontana brahyantha	20260128160713	14.412126	50.12193	out_of_ch_range	taxon_unified_conflict
