decision	rationale	group_id	group_size	fingerprint	project	keep_field_data_id	keep_sample_id	delete_field_data_id	delete_sample_id	delete_sample_id_class	delete_canonical_candidate	unified_taxon_name	date	latitude	longitude	coordinate_status
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	6	2	champex_gradient|epilobium angustifolium|20250624125122|7.046904|46.080105	champex_gradient	73902	grad_000115	73944	grad_64	short_numeric_suffix		Epilobium angustifolium	20250624125122	7.046904	46.080105	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	7	2	champex_gradient|epilobium angustifolium|20250624164628|7.073211|46.067417	champex_gradient	73910	grad_000510	73952	grad_72	short_numeric_suffix		Epilobium angustifolium	20250624164628	7.0732107	46.067417	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	8	3	champex_gradient|geranium purpureum|20250618114019|7.051203|46.134224	champex_gradient	73839	grad_000101	73871	grad_1	short_numeric_suffix		Geranium purpureum	20250618114019	7.0512033	46.134224	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	8	3	champex_gradient|geranium purpureum|20250618114019|7.051203|46.134224	champex_gradient	73839	grad_000101	73913	grad_33	short_numeric_suffix		Geranium purpureum	20250618114019	7.0512033	46.134224	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	9	3	champex_gradient|geranium purpureum|20250618152945|7.055757|46.07259	champex_gradient	73853	grad_000026	73885	grad_15	short_numeric_suffix		Geranium purpureum	20250618152945	7.0557566	46.07259	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	9	3	champex_gradient|geranium purpureum|20250618152945|7.055757|46.07259	champex_gradient	73853	grad_000026	73927	grad_47	short_numeric_suffix		Geranium purpureum	20250618152945	7.0557566	46.07259	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	10	3	champex_gradient|geranium purpureum|20250624163200|7.074731|46.06893	champex_gradient	73863	grad_000240	73895	grad_25	short_numeric_suffix		Geranium purpureum	20250624163200	7.0747313	46.06893	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	10	3	champex_gradient|geranium purpureum|20250624163200|7.074731|46.06893	champex_gradient	73863	grad_000240	73937	grad_57	short_numeric_suffix		Geranium purpureum	20250624163200	7.0747313	46.06893	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	11	3	champex_gradient|geranium purpureum|20250624172607|7.076438|46.06369	champex_gradient	73868	grad_000213	73900	grad_30	short_numeric_suffix		Geranium purpureum	20250624172607	7.0764384	46.06369	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	11	3	champex_gradient|geranium purpureum|20250624172607|7.076438|46.06369	champex_gradient	73868	grad_000213	73942	grad_62	short_numeric_suffix		Geranium purpureum	20250624172607	7.0764384	46.06369	looks_swapped_ch_lat_lon
