backup_kind	field_data_id	target_field	old_value	new_value	directus_row_json
field_data_unified_taxon_update	65788	taxon_name_unified		Cuphea ignea A. DC.	"{""id"": 65788, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65789	taxon_name_unified		Cuphea lanceolata W.T. Aiton	"{""id"": 65789, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65790	taxon_name_unified		Pelargonium x hortorum L.H. Bailey	"{""id"": 65790, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65791	taxon_name_unified		Geranium lucidum L.	"{""id"": 65791, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65792	taxon_name_unified		Geranium robertianum L. subsp. robertianum	"{""id"": 65792, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65793	taxon_name_unified		Geranium pyrenaicum Burm. f.	"{""id"": 65793, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65794	taxon_name_unified		Geranium pratense L.	"{""id"": 65794, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65795	taxon_name_unified		Geranium aristatum Freyn et Sint.	"{""id"": 65795, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65796	taxon_name_unified		Geranium renardii Trautv.	"{""id"": 65796, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65797	taxon_name_unified		Geranium sibiricum L.	"{""id"": 65797, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65798	taxon_name_unified		Geranium thunbergii Lindl. & Paxton	"{""id"": 65798, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65799	taxon_name_unified		Geranium sylvaticum L.	"{""id"": 65799, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65800	taxon_name_unified		Geranium endressii J. Gay	"{""id"": 65800, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65801	taxon_name_unified		Geranium macrorrhizum L.	"{""id"": 65801, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65802	taxon_name_unified		Geranium ibericum Cav.	"{""id"": 65802, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65803	taxon_name_unified		Liriodendron chinensis Sarg.	"{""id"": 65803, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65804	taxon_name_unified		Cotinus coggygria Scop.	"{""id"": 65804, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65805	taxon_name_unified		Helianthemum nummularium Mill. subsp. nummularium	"{""id"": 65805, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65806	taxon_name_unified		Cistus salviifolius L.	"{""id"": 65806, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65807	taxon_name_unified		Cistus laurifolius L.	"{""id"": 65807, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65808	taxon_name_unified		Thymelaea passerina (L.) Coss. et Germ.	"{""id"": 65808, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65809	taxon_name_unified		Hibiscus trionum L.	"{""id"": 65809, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65810	taxon_name_unified		Hibiscus syriacus L.	"{""id"": 65810, ""taxon_name_unified"": null}"
