field_data_id	sample_id	project	target_field	current_value	new_value	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	skip_reason
73555	dbgi_009326	jbc	taxon_name_unified	Rosa moschata	Rosa moschata	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73556	dbgi_009179	jbc	taxon_name_unified	Echinacea purpurea	Echinacea purpurea	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73557	dbgi_009305	jbc	taxon_name_unified	Hippophae rhamnoides	Hippophae rhamnoides	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73558	dbgi_009219	jbc	taxon_name_unified	Rosa rugosa	Rosa rugosa	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73559	dbgi_009280	jbc	taxon_name_unified	Campanula cervicaria	Campanula cervicaria	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73560	dbgi_009214	jbc	taxon_name_unified	Laburnum alpinum	Laburnum alpinum	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73561	dbgi_009182	jbc	taxon_name_unified	Minuartia striata	Minuartia striata	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73562	dbgi_009187	jbc	taxon_name_unified	Scabiosa columbaria	Scabiosa columbaria	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73563	dbgi_009253	jbc	taxon_name_unified	Potentilla cinerea	Potentilla cinerea	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73564	dbgi_009209	jbc	taxon_name_unified	Linum salsoides	Linum salsoides	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73565	dbgi_009244	jbc	taxon_name_unified	Sempervivum rubicundum	Sempervivum rubicundum	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73566	dbgi_009229	jbc	taxon_name_unified	Ephedra gerardiana	Ephedra gerardiana	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73567	dbgi_009239	jbc	taxon_name_unified	Allium moly	Allium moly	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73568	dbgi_009336	jbc	taxon_name_unified	Alyssoides utriculata	Alyssoides utriculata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73569	dbgi_009270	jbc	taxon_name_unified	Thymus drucei	Thymus drucei	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73570	dbgi_009265	jbc	taxon_name_unified	Dianthus gallicus	Dianthus gallicus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73571	dbgi_009322	jbc	taxon_name_unified	Saxifraga stormonthi	Saxifraga stormonthi	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73572	dbgi_009224	jbc	taxon_name_unified	Artemisia chamaemelifolia	Artemisia chamaemelifolia	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73573	dbgi_009290	jbc	taxon_name_unified	Ligustrum vulgare	Ligustrum vulgare	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73574	dbgi_009199	jbc	taxon_name_unified	Rosa spinosissima	Rosa spinosissima	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73575	dbgi_009332	jbc	taxon_name_unified	Festuca gautieri	Festuca gautieri	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73576	dbgi_009275	jbc	taxon_name_unified	Rosa canina	Rosa canina	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73577	dbgi_009285	jbc	taxon_name_unified	Erodium manescavi	Erodium manescavi	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73578	dbgi_009234	jbc	taxon_name_unified	Polystichum setiferum	Polystichum setiferum	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73579	dbgi_009276	jbc	taxon_name_unified	Cytisus nigricans	Cytisus nigricans	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73580	dbgi_009271	jbc	taxon_name_unified	Cotoneaster bullata	Cotoneaster bullata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73581	dbgi_009242	jbc	taxon_name_unified	Trollius europaeus	Trollius europaeus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73582	dbgi_009277	jbc	taxon_name_unified	Dryopteris carthusiana	Dryopteris carthusiana	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73583	dbgi_009397	jbc	taxon_name_unified	Dryopteris dilatata	Dryopteris dilatata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73584	dbgi_009296	jbc	taxon_name_unified	Primula elatior	Primula elatior	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
