collection	id	container_id	sample_id	issue
Dried_Samples_Data	4375	dbgi_004062		missing_field_data_for_dried_sample
Dried_Samples_Data	4376	dbgi_004060		missing_field_data_for_dried_sample
Dried_Samples_Data	4377	dbgi_004058		missing_field_data_for_dried_sample
Dried_Samples_Data	4378	dbgi_004100		missing_field_data_for_dried_sample
Dried_Samples_Data	4379	dbgi_004098		missing_field_data_for_dried_sample
Dried_Samples_Data	4380	dbgi_004229		missing_field_data_for_dried_sample
Dried_Samples_Data	4381	dbgi_004230		missing_field_data_for_dried_sample
Dried_Samples_Data	4382	dbgi_004232		missing_field_data_for_dried_sample
Dried_Samples_Data	4383	dbgi_004228		missing_field_data_for_dried_sample
Dried_Samples_Data	4384	dbgi_004231		missing_field_data_for_dried_sample
Dried_Samples_Data	4385	dbgi_004101		missing_field_data_for_dried_sample
Dried_Samples_Data	4386	dbgi_004102		missing_field_data_for_dried_sample
Dried_Samples_Data	4387	dbgi_004099		missing_field_data_for_dried_sample
Dried_Samples_Data	4388	dbgi_004194		missing_field_data_for_dried_sample
Dried_Samples_Data	4389	dbgi_004196		missing_field_data_for_dried_sample
Dried_Samples_Data	4390	dbgi_004193		missing_field_data_for_dried_sample
Dried_Samples_Data	4391	dbgi_004197		missing_field_data_for_dried_sample
Dried_Samples_Data	4392	dbgi_004195		missing_field_data_for_dried_sample
Dried_Samples_Data	4393	dbgi_006452		missing_field_data_for_dried_sample
Dried_Samples_Data	4394	dbgi_006449		missing_field_data_for_dried_sample
Dried_Samples_Data	4395	dbgi_006448		missing_field_data_for_dried_sample
Dried_Samples_Data	4396	dbgi_006450		missing_field_data_for_dried_sample
Dried_Samples_Data	4397	dbgi_006451		missing_field_data_for_dried_sample
Dried_Samples_Data	4398	dbgi_006496		missing_field_data_for_dried_sample
Dried_Samples_Data	4399	dbgi_006497		missing_field_data_for_dried_sample
Dried_Samples_Data	4400	dbgi_006494		missing_field_data_for_dried_sample
Dried_Samples_Data	4401	dbgi_006495		missing_field_data_for_dried_sample
Dried_Samples_Data	4402	dbgi_006493		missing_field_data_for_dried_sample
Dried_Samples_Data	4403	dbgi_006480		missing_field_data_for_dried_sample
Dried_Samples_Data	4404	dbgi_004089		missing_field_data_for_dried_sample
Dried_Samples_Data	4405	dbgi_004090		missing_field_data_for_dried_sample
Dried_Samples_Data	4406	dbgi_004217		missing_field_data_for_dried_sample
Dried_Samples_Data	4407	dbgi_004225		missing_field_data_for_dried_sample
Dried_Samples_Data	4408	dbgi_004216		missing_field_data_for_dried_sample
Dried_Samples_Data	4409	dbgi_004223		missing_field_data_for_dried_sample
Dried_Samples_Data	4410	dbgi_004088		missing_field_data_for_dried_sample
Dried_Samples_Data	4411	dbgi_004214		missing_field_data_for_dried_sample
Dried_Samples_Data	4412	dbgi_004224		missing_field_data_for_dried_sample
Dried_Samples_Data	4413	dbgi_004092		missing_field_data_for_dried_sample
Dried_Samples_Data	4414	dbgi_004227		missing_field_data_for_dried_sample
Dried_Samples_Data	4415	dbgi_004213		missing_field_data_for_dried_sample
Dried_Samples_Data	4416	dbgi_004226		missing_field_data_for_dried_sample
