project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issue
kew-botanical-gardens	75128	dbgi_010699	canonical	dbgi_010699	Massonia pustulata			20250929115937	-0.28935385	51.481873	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75129	dbgi_010731	canonical	dbgi_010731	Carduncellus rhaponticoides			20250929120100	-0.2893377	51.481873	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75130	dbgi_010810	canonical	dbgi_010810	Narcissus flavus			20250929120213	-0.28934184	51.48188	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75131	dbgi_010933	canonical	dbgi_010933	Begonia ramentacea			20250930091854	-0.29019812	51.48182	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75132	dbgi_010881	canonical	dbgi_010881	Begonia itaguassuensis			20250930092241	-0.29021642	51.481785	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75133	dbgi_010846	canonical	dbgi_010846	Begonia serratipetala			20250930092901	-0.29020813	51.481754	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75134	dbgi_010826	canonical	dbgi_010826	Begonia cubensis			20250930093324	-0.2902126	51.48174	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75135	dbgi_010662	canonical	dbgi_010662	Bruguiera gymnorhiza			20250930094228	-0.29023767	51.481766	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75136	dbgi_010778	canonical	dbgi_010778	Anthurium lindmanianum			20250930095443	-0.2902711	51.4816	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75137	dbgi_010798	canonical	dbgi_010798	Lagenandra ovata			20250930095920	-0.29028273	51.481594	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75138	dbgi_010724	canonical	dbgi_010724	Centella asiatica			20250930100403	-0.29028642	51.481583	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75139	dbgi_010829	canonical	dbgi_010829	Centella asiatica			20250930100604	-0.29028642	51.481583	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75140	dbgi_010720	canonical	dbgi_010720	Ludwigia peruviana			20250930101057	-0.29029337	51.481575	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75141	dbgi_010715	canonical	dbgi_010715	Ludwigia peruviana			20250930102223	-0.2902925	51.481575	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75142	dbgi_010753	canonical	dbgi_010753	Crinum × amabile			20250930103016	-0.29025477	51.481663	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75143	dbgi_010801	canonical	dbgi_010801	Crinum × amabile			20250930103133	-0.29025477	51.481663	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75144	dbgi_010645	canonical	dbgi_010645	Eichhornia crassipes			20250930105245	-0.29029584	51.481567	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75145	dbgi_010624	canonical	dbgi_010624	Crinum erubescens			20250930105953	-0.29030585	51.481544	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75146	dbgi_010519	canonical	dbgi_010519	Crinum erubescens			20250930110149	-0.29030585	51.481544	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75147	dbgi_010583	canonical	dbgi_010583	Colocasia esculenta			20250930110604	-0.29030904	51.48153	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75148	dbgi_010660	canonical	dbgi_010660	Colocasia esculenta			20250930110937	-0.2903102	51.48153	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75149	dbgi_010581	canonical	dbgi_010581	Barringtonia racemosa			20250930111555	-0.29031774	51.481503	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75150	dbgi_010639	canonical	dbgi_010639	Barringtonia racemosa			20250930111743	-0.29031774	51.481503	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	75151	dbgi_010491	canonical	dbgi_010491	Barringtonia racemosa			20250930112015	-0.29031774	51.481503	out_of_ch_range	coordinates_out_of_ch_range
