filename,injection,file_type,sample_id,container_id,ATTRIBUTE_Species,genus,family,NCBITaxonomy_ID,Ionization.mode,organ,is_wild,collector,latitude,longitude,x_coord,y_coord,date_created
250403_ML_Metabo_DDA_sample_84_nr8.mzML,84,sample,dbgi_002004,dbgi_002004_01_01,Angelica archangelica,Angelica,Apiaceae,40949,positive,Leaf,0,Mazzarine Laboureau,47.0003,6.935052,2561700,1205595,2025-03-04T13:03:24.224Z
250403_ML_Metabo_DDA_sample_85_nr8.mzML,85,sample,dbgi_003956,dbgi_003956_01_01,Lactuca sativa,Lactuca,Asteraceae,4236,positive,Leaf,1,Mazzarine Laboureau,46.999737,6.934258,2561639.2,1205532.6,2025-03-04T13:03:42.646Z
250403_ML_Metabo_DDA_sample_86_nr8.mzML,86,sample,dbgi_001953,dbgi_001953_01_01,Rosa x,Rosa,Rosaceae,3764,positive,Leaf,1,Mazzarine Laboureau,47.00032,6.935022,2561697.8,1205597.2,2025-03-04T13:03:25.345Z
250403_ML_Metabo_DDA_sample_87_nr8.mzML,87,sample,dbgi_003509,dbgi_003509_01_01,Festuca acuminata,Festuca,Poaceae,1532819,positive,Leaf,0,Mazzarine Laboureau,46.99993,6.9346046,2561665.5,1205554.4,2025-03-04T13:03:30.348Z
250403_ML_Metabo_DDA_sample_88_nr8.mzML,88,sample,dbgi_003670,dbgi_003670_01_01,Muscari armeniacum,Muscari,Asparagaceae,156613,positive,Leaf,0,Mazzarine Laboureau,46.99952,6.934444,2561653,1205508.5,2025-03-04T13:03:45.592Z
250403_ML_Metabo_DDA_sample_89_nr8.mzML,89,sample,dbgi_007068,dbgi_007068_01_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250403_ML_Metabo_DDA_sample_90_nr8.mzML,90,sample,dbgi_003290,dbgi_003290_01_01,NA,NA,NA,NA,NA,Leaf,0,Mazzarine Laboureau,46.999714,6.933896,2561611.5,1205530.4,2025-03-04T13:03:40.549Z
250403_ML_Metabo_DDA_sample_91_nr8.mzML,91,sample,dbgi_007027,dbgi_007027_01_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250403_ML_Metabo_DDA_sample_92_nr8.mzML,92,sample,dbgi_007107,dbgi_007107_01_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250403_ML_Metabo_DDA_sample_93_nr8.mzML,93,sample,dbgi_003805,dbgi_003805_01_01,Ocimum basiculum,Ocimum,Lamiaceae,39173,positive,Leaf,1,Mazzarine Laboureau,46.99974,6.934478,2561655.8,1205533,2025-03-04T13:03:44.582Z
